epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.537,1.24542,0.69076,1.71791,0.95644,0.95639,0.97605,0.68258,1.0387,0.48119,1.71961,0.000474298,0.000474298,0.000474298
2,353.607,1.08887,0.49609,1.6452,0.95366,0.97669,0.98173,0.69764,1.03554,0.4773,1.67388,0.000865074,0.000865074,0.000865074
3,528.891,1.06733,0.48857,1.61217,0.95917,0.96093,0.98276,0.68088,1.05323,0.48755,1.72498,0.00117011,0.00117011,0.00117011
4,704.058,1.03835,0.48409,1.57718,0.96558,0.9619,0.9837,0.70029,0.98915,0.46399,1.60965,0.00104317,0.00104317,0.00104317
5,878.603,1.00114,0.4548,1.53135,0.95767,0.96958,0.98385,0.71734,0.954,0.43617,1.58492,0.00091456,0.00091456,0.00091456
6,1052.47,0.9846,0.44025,1.50423,0.96485,0.95993,0.98104,0.72849,0.93535,0.4201,1.56056,0.00078595,0.00078595,0.00078595
7,1226.7,0.96384,0.42777,1.4822,0.97488,0.96092,0.98466,0.74615,0.90916,0.4217,1.53736,0.00065734,0.00065734,0.00065734
8,1401.31,0.92689,0.4143,1.44852,0.97627,0.96456,0.98628,0.74348,0.90647,0.39821,1.51925,0.00052873,0.00052873,0.00052873
9,1574.3,0.90324,0.39944,1.42799,0.97524,0.97104,0.98668,0.75829,0.87187,0.39401,1.50052,0.00040012,0.00040012,0.00040012
10,1745.19,0.88349,0.38886,1.40981,0.97649,0.9711,0.98672,0.76768,0.84647,0.37585,1.47154,0.00027151,0.00027151,0.00027151
11,1915.74,0.85451,0.37336,1.37924,0.97616,0.96987,0.98655,0.77239,0.8285,0.36621,1.44243,0.0001429,0.0001429,0.0001429
