                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1679,                0.50779,                 1.1371,                 0.9875,                0.97487,                0.99091,                0.61049,                 1.4811,                0.49655,                 1.4087,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.1321,                0.49039,                  1.127,                0.97902,                0.96482,                 0.9848,                0.60868,                   1.48,                0.51701,                 1.4213,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.1819,                0.49808,                 1.1309,                0.98899,                0.98492,                0.99058,                0.59446,                 1.5092,                0.48821,                 1.4429,               0.000614,               0.000614,               0.000614
                     38,                 1.1278,                0.48634,                 1.1266,                0.99483,                0.98492,                0.99118,                0.60056,                 1.4741,                0.49409,                 1.4084,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.1382,                0.47865,                 1.1407,                0.98967,                0.96247,                0.99193,                 0.5999,                   1.51,                0.50006,                 1.4293,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.1262,                 0.4766,                 1.1202,                0.99963,                0.97487,                 0.9947,                0.62732,                 1.4483,                0.46655,                 1.4137,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.1092,                0.44151,                 1.1399,                0.98978,                0.97341,                0.98565,                0.61493,                 1.5117,                0.48532,                  1.444,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.0791,                0.42734,                 1.1338,                0.99482,                0.97487,                0.99096,                0.61078,                 1.4683,                0.49324,                 1.4045,               0.000416,               0.000416,               0.000416
                     43,                 1.0952,                0.43587,                  1.153,                0.98989,                0.98411,                0.98997,                0.60324,                 1.4881,                0.47187,                 1.4224,              0.0003764,              0.0003764,              0.0003764
                     44,                  1.084,                0.42669,                 1.1287,                      1,                0.98298,                0.99434,                0.60872,                 1.4823,                0.46977,                 1.4156,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.0573,                0.41681,                 1.1235,                0.98484,                0.97908,                0.98731,                0.58924,                  1.521,                0.47548,                 1.4507,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.0489,                0.40738,                  1.131,                0.98484,                 0.9794,                0.99023,                0.60242,                 1.5021,                0.47663,                 1.4409,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.0373,                 0.4052,                 1.1097,                0.96932,                0.98492,                0.98867,                0.60677,                 1.4996,                0.47339,                 1.4213,               0.000218,               0.000218,               0.000218
                     48,                 1.0411,                0.40278,                 1.1206,                0.98361,                0.97487,                0.98773,                0.61672,                 1.4716,                0.45696,                 1.4121,              0.0001784,              0.0001784,              0.0001784
                     49,                0.99614,                0.39994,                 1.0951,                0.98951,                0.98492,                0.99177,                0.62153,                 1.4761,                0.45379,                 1.4143,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.0039,                0.39184,                 1.0908,                0.99282,                0.97487,                 0.9922,                0.62615,                 1.4723,                0.45152,                  1.416,               9.92e-05,               9.92e-05,               9.92e-05
