epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.05657,2.29372,1.5792,2.43429,0.47676,0.64255,0.60598,0.38048,1.19527,0.61322,1.33507,0.000464715,0.000464715,0.000464715
2,23.2048,1.25406,0.64038,1.40934,0.74686,0.82812,0.75319,0.46741,1.15413,0.56205,1.29584,0.000856354,0.000856354,0.000856354
3,28.7018,1.18405,0.56397,1.34349,0.79532,0.7744,0.77222,0.53511,1.04937,0.48339,1.2304,0.00116225,0.00116225,0.00116225
4,34.2243,1.13933,0.54524,1.32125,0.73654,0.83348,0.8093,0.54332,1.10459,0.49346,1.24985,0.00104317,0.00104317,0.00104317
5,40.0425,1.11485,0.51151,1.29508,0.87447,0.79445,0.83535,0.57329,1.00439,0.47975,1.20102,0.00091456,0.00091456,0.00091456
6,45.5865,1.0592,0.49887,1.25342,0.82582,0.81561,0.84811,0.56025,1.07395,0.55056,1.253,0.00078595,0.00078595,0.00078595
7,51.2366,1.04505,0.48423,1.26066,0.80122,0.93355,0.86701,0.63687,0.94612,0.46193,1.13902,0.00065734,0.00065734,0.00065734
8,56.8927,0.98995,0.46991,1.22477,0.88489,0.90937,0.91107,0.64653,0.96922,0.43594,1.1648,0.00052873,0.00052873,0.00052873
9,62.4269,0.96247,0.44406,1.20977,0.87411,0.91382,0.87895,0.64333,0.95148,0.41041,1.15691,0.00040012,0.00040012,0.00040012
10,68.0125,0.941,0.4372,1.19559,0.88017,0.95012,0.91053,0.64696,0.89402,0.39745,1.11782,0.00027151,0.00027151,0.00027151
11,73.6181,0.932,0.42655,1.17341,0.88203,0.89765,0.89232,0.68331,0.80851,0.38802,1.07143,0.0001429,0.0001429,0.0001429
