epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1570.86,1.41535,0.85417,1.92738,0.96497,0.94303,0.97156,0.64793,1.10623,0.562,1.80483,0.000474298,0.000474298,0.000474298
2,3477.15,1.13823,0.56841,1.71536,0.95697,0.94596,0.97671,0.6734,1.05539,0.51921,1.69667,0.000865074,0.000865074,0.000865074
3,5286.5,1.10114,0.53136,1.64092,0.95536,0.9645,0.98307,0.67887,1.03234,0.50561,1.69832,0.00117011,0.00117011,0.00117011
4,7184.64,1.0555,0.51135,1.59146,0.95491,0.96406,0.98363,0.70151,0.9945,0.47907,1.61983,0.00104317,0.00104317,0.00104317
5,10695.6,1.0151,0.47476,1.5388,0.96532,0.96356,0.98207,0.69441,1.03826,0.46686,1.65819,0.00091456,0.00091456,0.00091456
6,12871.8,0.99829,0.45969,1.51191,0.97286,0.95674,0.98171,0.71864,0.94079,0.44375,1.56661,0.00078595,0.00078595,0.00078595
7,17421.3,0.96707,0.44302,1.48312,0.97002,0.96717,0.98529,0.73072,0.93157,0.42225,1.53007,0.00065734,0.00065734,0.00065734
8,19380.1,0.94176,0.42619,1.45334,0.97645,0.96314,0.98562,0.73855,0.90113,0.40534,1.50319,0.00052873,0.00052873,0.00052873
9,21485.1,0.91392,0.40841,1.41822,0.9757,0.96752,0.98671,0.75022,0.87828,0.39402,1.46566,0.00040012,0.00040012,0.00040012
10,23157.9,0.88828,0.39657,1.39468,0.97273,0.9647,0.98663,0.76246,0.84152,0.37015,1.43615,0.00027151,0.00027151,0.00027151
11,25311.8,0.86403,0.38412,1.36642,0.96984,0.96777,0.98747,0.76474,0.83196,0.3673,1.41156,0.0001429,0.0001429,0.0001429
