epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,381.312,1.1772,0.65964,1.42635,0.9475,0.6118,0.63002,0.44957,1.11734,0.55102,1.44623,0.000475946,0.000475946,0.000475946
2,756.597,1.08054,0.53839,1.40042,0.94804,0.61077,0.62998,0.44742,1.09603,0.56645,1.41398,0.000866574,0.000866574,0.000866574
3,1124.76,1.07615,0.54594,1.39267,0.94917,0.61294,0.63417,0.45823,1.07129,0.55442,1.39457,0.00117146,0.00117146,0.00117146
4,1492.19,1.05018,0.53322,1.37363,0.94179,0.62199,0.63726,0.46501,1.05093,0.54328,1.38202,0.00104317,0.00104317,0.00104317
5,1858.73,1.0209,0.51204,1.34691,0.94807,0.61568,0.63497,0.4691,1.02821,0.53355,1.35077,0.00091456,0.00091456,0.00091456
6,2228.35,0.99325,0.49125,1.31979,0.94664,0.62131,0.63822,0.47567,1.00636,0.52373,1.3455,0.00078595,0.00078595,0.00078595
7,2597,0.96114,0.47106,1.29225,0.95418,0.62199,0.64114,0.48351,0.97528,0.49062,1.3103,0.00065734,0.00065734,0.00065734
8,2964.27,0.93701,0.4529,1.27073,0.94907,0.62229,0.6384,0.48677,0.95433,0.48418,1.29564,0.00052873,0.00052873,0.00052873
9,3332.62,0.9094,0.4357,1.25068,0.9545,0.62442,0.64149,0.49274,0.9384,0.47135,1.28336,0.00040012,0.00040012,0.00040012
10,3700.48,0.88472,0.41951,1.2285,0.95167,0.62767,0.80755,0.54537,0.91885,0.46102,1.26513,0.00027151,0.00027151,0.00027151
11,4070.16,0.85928,0.40272,1.21004,0.95376,0.62532,0.69588,0.51579,0.90742,0.45269,1.25881,0.0001429,0.0001429,0.0001429
