                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4753,                 1.4923,                 2.4796,                0.99875,                      1,                  0.995,                0.59124,                 1.4783,                 1.0434,                 1.7181,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.7853,                 1.2231,                 1.7746,                0.99113,                      1,                  0.995,                 0.6055,                  1.402,                 1.0232,                 1.6284,               8.02e-05,               8.02e-05,               8.02e-05
                      3,                  1.801,                 1.4024,                  1.755,                0.99205,                      1,                  0.995,                0.60651,                 1.4451,                0.97149,                 1.6358,              9.664e-05,              9.664e-05,              9.664e-05
                      4,                 1.4645,                  1.054,                 1.4191,                0.99263,                      1,                  0.995,                0.61273,                  1.462,                0.99343,                 1.6657,              8.932e-05,              8.932e-05,              8.932e-05
                      5,                 1.3781,                 1.0221,                 1.4037,                0.99294,                      1,                  0.995,                0.61273,                 1.4634,                 0.9885,                 1.6645,              5.824e-05,              5.824e-05,              5.824e-05
