epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.862,2.10338,1.35564,2.17024,0.56787,0.70698,0.5962,0.37398,1.31562,0.63842,1.48711,0.000464715,0.000464715,0.000464715
2,446.601,1.30982,0.65872,1.43904,0.59744,0.9375,0.65713,0.42224,1.16041,0.57715,1.29656,0.000856354,0.000856354,0.000856354
3,670.744,1.19556,0.57649,1.37124,0.69972,0.83703,0.7772,0.4976,1.14885,0.57177,1.30039,0.00116225,0.00116225,0.00116225
4,893.567,1.17445,0.5655,1.35947,0.82427,0.85256,0.81202,0.50793,1.12255,0.62706,1.24326,0.00104317,0.00104317,0.00104317
5,1114.45,1.10477,0.53452,1.2987,0.78685,0.90964,0.80608,0.55034,0.99526,0.48758,1.18758,0.00091456,0.00091456,0.00091456
6,1334.34,1.07887,0.50313,1.26919,0.89068,0.82252,0.87414,0.61456,0.98401,0.49859,1.1749,0.00078595,0.00078595,0.00078595
7,1727.09,1.05336,0.4901,1.26041,0.83004,0.90625,0.86654,0.60304,1.02203,0.47652,1.18553,0.00065734,0.00065734,0.00065734
8,2644.75,1.00274,0.46628,1.22139,0.84825,0.92188,0.89229,0.63107,0.90052,0.43153,1.1201,0.00052873,0.00052873,0.00052873
9,2867.72,0.96881,0.46199,1.20309,0.82892,0.92777,0.88941,0.66214,0.88803,0.42643,1.109,0.00040012,0.00040012,0.00040012
10,3092.26,0.92954,0.43591,1.18829,0.84919,0.95312,0.909,0.67094,0.93495,0.4172,1.12763,0.00027151,0.00027151,0.00027151
11,3314.36,0.93798,0.42752,1.19761,0.90592,0.88549,0.91439,0.69166,0.85198,0.4118,1.0781,0.0001429,0.0001429,0.0001429
