                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1309,                 1.2038,                 1.0127,                      1,                0.71873,                  0.975,                0.66387,                   1.13,                 2.4118,                 1.0718,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.0924,                  1.304,                 1.0343,                0.77899,                0.66667,                0.82062,                0.49078,                 1.3725,                 2.5992,                 1.1528,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 1.0714,                 1.1961,                 1.0239,                0.77912,                0.29853,                0.84314,                0.46436,                 1.3287,                 2.5796,                 1.1235,             0.00015683,             0.00015683,             0.00015683
                      4,                0.74811,                 5.0273,                0.67555,                      1,                0.53178,                  0.995,                0.60638,                 1.2407,                 2.4522,                  1.093,             0.00021347,             0.00021347,             0.00021347
                      5,                0.99156,                 1.2091,                0.98975,                      1,                0.64477,                  0.995,                0.62918,                 1.3595,                 2.3858,                 1.1341,             0.00026891,             0.00026891,             0.00026891
                      6,                0.86789,                 1.1371,                 0.9269,                      1,                0.81653,                  0.995,                0.67199,                 1.2167,                  2.113,                 1.0725,             0.00032317,             0.00032317,             0.00032317
                      7,                0.91689,                 1.1642,                0.99201,                0.97027,                      1,                  0.995,                0.65664,                 1.2449,                 1.8166,                 1.0679,             0.00037624,             0.00037624,             0.00037624
                      8,                0.99714,                 1.1058,                0.98859,                0.96825,                      1,                  0.995,                0.65009,                 1.2474,                 1.8531,                 1.0807,             0.00042812,             0.00042812,             0.00042812
                      9,                0.92359,                 1.0217,                0.94582,                 0.9764,                      1,                  0.995,                0.65868,                 1.2409,                 2.0254,                 1.0768,             0.00047882,             0.00047882,             0.00047882
                     10,                 1.0021,                  1.126,                0.94859,                0.97989,                      1,                  0.995,                0.63611,                  1.269,                 1.9771,                 1.0941,             0.00052832,             0.00052832,             0.00052832
                     11,                0.98012,                 1.0247,                0.96521,                0.96871,                      1,                  0.995,                0.65511,                 1.2665,                 1.6643,                  1.081,             0.00057664,             0.00057664,             0.00057664
                     12,                 1.0091,                 1.1716,                 1.0322,                0.96717,                      1,                  0.995,                0.61613,                 1.3613,                  1.673,                 1.1097,             0.00062377,             0.00062377,             0.00062377
                     13,                 1.1927,                  1.314,                 1.2662,                      1,                0.93721,                  0.995,                 0.6162,                 1.4416,                 1.9676,                 1.1457,             0.00066971,             0.00066971,             0.00066971
                     14,                 1.0058,                 1.2649,                0.96086,                      1,                0.80336,                  0.995,                0.62733,                 1.3945,                 2.2186,                  1.104,             0.00071447,             0.00071447,             0.00071447
                     15,                 1.0425,                 1.2244,                 1.0358,                0.99203,                      1,                  0.995,                0.57901,                 1.5154,                 1.8227,                 1.1722,             0.00075803,             0.00075803,             0.00075803
                     16,                 1.0015,                 1.2309,                 1.0636,                      1,                0.99319,                  0.995,                0.55469,                 1.5609,                 1.5977,                 1.1968,             0.00080041,             0.00080041,             0.00080041
                     17,                 1.1549,                 2.1321,                 1.2828,                      1,                 0.9931,                  0.995,                0.57873,                 1.4495,                 1.3458,                  1.199,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.0671,                 1.1131,                 1.0103,                      1,                0.99899,                  0.995,                0.55224,                 1.4542,                 1.2487,                  1.218,              0.0008816,              0.0008816,              0.0008816
                     19,                 1.1098,                 1.5274,                  1.087,                      1,                0.99863,                  0.995,                0.60064,                 1.4012,                  1.186,                  1.198,             0.00092042,             0.00092042,             0.00092042
                     20,                 1.0564,                 1.0216,                0.98876,                      1,                0.99843,                  0.995,                0.57926,                 1.4209,                 1.2155,                 1.2267,             0.00095804,             0.00095804,             0.00095804
                     21,                0.92717,                 0.9896,                0.92997,                      1,                0.99322,                  0.995,                0.56921,                 1.5644,                 1.3166,                 1.3215,             0.00099448,             0.00099448,             0.00099448
                     22,                 1.1508,                 1.0151,                 1.0686,                0.84681,                0.91667,                0.94257,                0.55144,                 1.5057,                 1.3425,                 1.3343,              0.0010297,              0.0010297,              0.0010297
                     23,                 1.0969,                 1.0863,                 1.0045,                      1,                 0.9958,                  0.995,                0.63667,                 1.4075,                 1.1854,                 1.2159,              0.0010638,              0.0010638,              0.0010638
                     24,                 1.2502,                0.97183,                 1.0601,                0.98873,                      1,                  0.995,                0.63731,                 1.4521,                 1.1681,                  1.226,              0.0010967,              0.0010967,              0.0010967
                     25,                 1.0324,                 1.0171,                0.97799,                0.99438,                      1,                  0.995,                0.61354,                 1.4331,                 1.1035,                 1.2038,              0.0011284,              0.0011284,              0.0011284
                     26,                 1.0522,                 1.0177,                0.97538,                0.99121,                      1,                  0.995,                0.60465,                 1.4783,                 1.1163,                 1.2365,              0.0011588,              0.0011588,              0.0011588
                     27,                 1.0436,                 1.1322,                  1.072,                0.99318,                      1,                  0.995,                0.61042,                 1.4191,                  1.075,                 1.2155,              0.0011882,              0.0011882,              0.0011882
                     28,                 1.2003,                 1.1327,                 1.0751,                0.99277,                      1,                  0.995,                0.58213,                 1.4878,                 1.1367,                 1.3114,              0.0012163,              0.0012163,              0.0012163
                     29,                0.99067,                0.97853,                 1.0303,                0.99277,                      1,                  0.995,                0.58213,                 1.4878,                 1.1367,                 1.3114,              0.0012432,              0.0012432,              0.0012432
                     30,                   1.11,                 1.1052,                 1.0092,                0.90922,                      1,                0.95654,                0.45786,                 1.9222,                  1.332,                 1.6254,               0.001269,               0.001269,               0.001269
                     31,                 1.0621,                0.98148,                0.98626,                0.91353,                      1,                  0.925,                 0.4458,                 1.7666,                 1.3473,                 1.5494,              0.0012935,              0.0012935,              0.0012935
                     32,                 1.1763,                 1.0339,                 1.0998,                0.91535,                      1,                0.98269,                0.60639,                 1.4485,                 1.1779,                 1.2601,              0.0013169,              0.0013169,              0.0013169
                     33,                 1.0936,                 1.0276,                 1.0416,                0.91535,                      1,                0.98269,                0.60639,                 1.4485,                 1.1779,                 1.2601,              0.0013391,              0.0013391,              0.0013391
                     34,                 1.1048,                0.91933,                 1.0167,                0.98241,                      1,                  0.995,                0.62303,                 1.3561,                 1.1143,                 1.2044,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0256,                0.96741,                0.99943,                0.98627,                      1,                  0.995,                0.58657,                 1.5055,                 1.1907,                 1.2924,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.2248,                 1.3193,                 1.1851,                0.99326,                      1,                  0.995,                 0.5819,                 1.5377,                 1.2103,                 1.2755,              0.0013268,              0.0013268,              0.0013268
                     37,                0.96091,                 1.2676,                0.96948,                0.99326,                      1,                  0.995,                 0.5819,                 1.5377,                 1.2103,                 1.2755,               0.001307,               0.001307,               0.001307
                     38,                 1.1008,                 1.0176,                 1.0314,                0.99252,                      1,                  0.995,                0.58287,                 1.4509,                 1.1405,                 1.2159,              0.0012872,              0.0012872,              0.0012872
                     39,                  1.442,                 1.1681,                 1.1604,                0.99331,                      1,                  0.995,                0.60147,                 1.3722,                 1.2875,                 1.1931,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1636,                0.92307,                 1.0317,                 0.9939,                      1,                  0.995,                0.57509,                 1.4805,                 1.3542,                 1.2923,              0.0012476,              0.0012476,              0.0012476
                     41,                0.86001,                 1.1175,                0.95563,                 0.9939,                      1,                  0.995,                0.57509,                 1.4805,                 1.3542,                 1.2923,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0899,                  1.117,                 1.0399,                0.98544,                      1,                  0.995,                0.48547,                 1.8942,                  1.393,                 1.6208,               0.001208,               0.001208,               0.001208
                     43,                 1.0838,                  1.138,                 1.0669,                0.99052,                      1,                  0.995,                0.44461,                 1.9172,                 1.3447,                  1.664,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.3678,                 1.1356,                 1.0527,                0.99055,                      1,                  0.995,                0.57932,                 1.5211,                  1.363,                 1.3511,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0336,                 1.0594,                 1.0215,                0.99055,                      1,                  0.995,                0.57932,                 1.5211,                  1.363,                 1.3511,              0.0011486,              0.0011486,              0.0011486
                     46,                   1.13,                0.99263,                 1.0502,                      1,                0.97201,                  0.995,                0.61172,                 1.4494,                 1.5979,                 1.2814,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2368,                 1.0901,                 1.0633,                0.94632,                      1,                  0.995,                0.56348,                 1.5409,                 1.6077,                  1.333,               0.001109,               0.001109,               0.001109
                     48,                0.88843,                0.93811,                0.98315,                0.95546,                      1,                  0.995,                   0.55,                 1.5977,                 1.4211,                 1.3536,              0.0010892,              0.0010892,              0.0010892
                     49,                0.95281,                0.80997,                0.96359,                0.95546,                      1,                  0.995,                   0.55,                 1.5977,                 1.4211,                 1.3536,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0295,                0.93025,                0.97532,                0.99069,                      1,                  0.995,                0.59631,                 1.4929,                 1.1728,                 1.2412,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0913,                0.95623,                0.96568,                0.99414,                      1,                  0.995,                0.64879,                 1.2801,                  1.029,                 1.1118,              0.0010298,              0.0010298,              0.0010298
                     52,                0.83111,                0.94413,                 1.0323,                0.99419,                      1,                  0.995,                0.69032,                 1.2208,                0.97556,                 1.0908,                0.00101,                0.00101,                0.00101
                     53,                0.90466,                0.93869,                0.96149,                0.99419,                      1,                  0.995,                0.69032,                 1.2208,                0.97556,                 1.0908,              0.0009902,              0.0009902,              0.0009902
                     54,                0.93725,                 0.9131,                 1.0332,                 0.9941,                      1,                  0.995,                0.67733,                 1.2346,                0.87978,                 1.0881,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.1046,                 1.0551,                 1.0824,                0.99638,                      1,                  0.995,                0.67585,                 1.2748,                 0.8097,                 1.0891,              0.0009506,              0.0009506,              0.0009506
                     56,                0.93038,                0.84437,                 1.0051,                0.99599,                      1,                  0.995,                0.65166,                 1.4208,                0.84074,                 1.1782,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1068,                0.90221,                  1.067,                0.99599,                      1,                  0.995,                0.65166,                 1.4208,                0.84074,                 1.1782,               0.000911,               0.000911,               0.000911
                     58,                 1.2153,                 1.0794,                 1.1288,                0.99676,                      1,                  0.995,                0.61155,                 1.5528,                0.86306,                 1.2827,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0739,                0.99115,                 1.0714,                 0.9985,                      1,                  0.995,                0.61384,                 1.4984,                0.87706,                 1.2707,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0245,                0.85209,                 1.0054,                 0.9994,                      1,                  0.995,                0.65071,                  1.304,                0.88391,                 1.1512,              0.0008516,              0.0008516,              0.0008516
                     61,                0.86044,                0.92675,                0.97245,                 0.9994,                      1,                  0.995,                0.65071,                  1.304,                0.88391,                 1.1512,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.3743,                 1.1558,                 1.3447,                0.99981,                      1,                  0.995,                0.69136,                  1.204,                0.90741,                 1.1132,               0.000812,               0.000812,               0.000812
