                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.90771,                0.56624,                 1.0903,                0.99476,                      1,                  0.995,                0.71587,                 1.1351,                0.63679,                 1.3532,               0.001307,               0.001307,               0.001307
                     37,                 1.2819,                0.73146,                 1.3333,                0.99476,                      1,                  0.995,                0.71587,                 1.1351,                0.63679,                 1.3532,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.044,                0.61228,                 1.0894,                0.99481,                      1,                  0.995,                0.72045,                 1.1535,                0.62013,                 1.3641,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0411,                0.66418,                 1.1042,                0.99471,                      1,                  0.995,                0.70313,                 1.1932,                0.61893,                 1.4012,              0.0012476,              0.0012476,              0.0012476
                     40,                0.92409,                0.56002,                 1.0828,                0.99436,                      1,                  0.995,                0.69331,                 1.1779,                0.60248,                 1.3792,              0.0012278,              0.0012278,              0.0012278
                     41,                0.88237,                0.57057,                 1.1007,                0.99436,                      1,                  0.995,                0.69331,                 1.1779,                0.60248,                 1.3792,               0.001208,               0.001208,               0.001208
                     42,                 1.0108,                0.57392,                  1.217,                 0.9938,                      1,                  0.995,                0.70933,                 1.1472,                0.57865,                 1.3527,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.9276,                0.55979,                 1.0767,                0.99407,                      1,                  0.995,                0.69161,                  1.159,                0.59462,                 1.3752,              0.0011684,              0.0011684,              0.0011684
                     44,                0.77632,                0.56645,                 1.0785,                0.99408,                      1,                  0.995,                 0.6799,                  1.181,                0.60262,                 1.3809,              0.0011486,              0.0011486,              0.0011486
                     45,                0.89773,                  0.599,                 1.1276,                0.99408,                      1,                  0.995,                 0.6799,                  1.181,                0.60262,                 1.3809,              0.0011288,              0.0011288,              0.0011288
                     46,                0.94128,                0.57881,                 1.1118,                0.99425,                      1,                  0.995,                0.64907,                 1.2537,                0.61165,                 1.4466,               0.001109,               0.001109,               0.001109
                     47,                 1.0373,                0.60306,                 1.0575,                0.99415,                      1,                  0.995,                0.62218,                 1.3991,                0.62193,                 1.5978,              0.0010892,              0.0010892,              0.0010892
                     48,                0.91711,                0.59065,                 1.0941,                0.99429,                      1,                  0.995,                0.62385,                 1.4207,                0.62986,                 1.6114,              0.0010694,              0.0010694,              0.0010694
                     49,                0.93594,                0.58932,                 1.1012,                0.99429,                      1,                  0.995,                0.62385,                 1.4207,                0.62986,                 1.6114,              0.0010496,              0.0010496,              0.0010496
                     50,                0.96344,                0.58963,                 1.1448,                0.99348,                      1,                  0.995,                0.64679,                 1.2759,                0.62461,                  1.475,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0229,                0.71068,                  1.112,                0.99427,                      1,                  0.995,                0.67557,                 1.1409,                0.61724,                 1.3517,                0.00101,                0.00101,                0.00101
                     52,                 1.0323,                  0.669,                 1.2713,                0.99461,                      1,                  0.995,                0.68839,                 1.1038,                0.60139,                 1.3163,              0.0009902,              0.0009902,              0.0009902
                     53,                0.82193,                0.55266,                 1.0434,                0.99461,                      1,                  0.995,                0.68839,                 1.1038,                0.60139,                 1.3163,              0.0009704,              0.0009704,              0.0009704
                     54,                0.90773,                0.56383,                 1.1523,                 0.9946,                      1,                  0.995,                 0.6408,                 1.1892,                0.61423,                 1.3901,              0.0009506,              0.0009506,              0.0009506
                     55,                0.92054,                0.59258,                  1.171,                0.99534,                      1,                  0.995,                0.62021,                 1.3264,                0.61926,                 1.5247,              0.0009308,              0.0009308,              0.0009308
                     56,                0.87249,                0.57042,                  1.104,                0.99522,                      1,                  0.995,                 0.6284,                 1.3617,                0.61203,                  1.561,               0.000911,               0.000911,               0.000911
                     57,                0.72589,                0.53719,                 1.0631,                0.99522,                      1,                  0.995,                 0.6284,                 1.3617,                0.61203,                  1.561,              0.0008912,              0.0008912,              0.0008912
                     58,                0.79287,                0.47454,                 1.0524,                0.99514,                      1,                  0.995,                0.64685,                 1.2816,                0.59325,                 1.4809,              0.0008714,              0.0008714,              0.0008714
                     59,                0.86477,                0.50709,                 1.0218,                0.99498,                      1,                  0.995,                0.65427,                 1.2532,                0.57309,                 1.4449,              0.0008516,              0.0008516,              0.0008516
                     60,                0.80899,                0.50161,                 1.0596,                0.99494,                      1,                  0.995,                0.61602,                  1.329,                0.56334,                 1.5068,              0.0008318,              0.0008318,              0.0008318
                     61,                0.74739,                0.47777,                 1.0209,                0.99494,                      1,                  0.995,                0.61602,                  1.329,                0.56334,                 1.5068,               0.000812,               0.000812,               0.000812
                     62,                0.84586,                0.55743,                 1.0815,                0.99485,                      1,                  0.995,                0.62081,                 1.3614,                0.56073,                 1.5362,              0.0007922,              0.0007922,              0.0007922
                     63,                0.79293,                0.49146,                 1.0572,                0.99498,                      1,                  0.995,                0.62847,                 1.3287,                0.55008,                 1.5054,              0.0007724,              0.0007724,              0.0007724
                     64,                0.79607,                0.46641,                0.98536,                0.99517,                      1,                  0.995,                0.63678,                 1.3325,                0.54865,                 1.5172,              0.0007526,              0.0007526,              0.0007526
                     65,                0.79988,                0.49947,                0.98932,                0.99517,                      1,                  0.995,                0.63678,                 1.3325,                0.54865,                 1.5172,              0.0007328,              0.0007328,              0.0007328
                     66,                0.77995,                0.47674,                 1.0139,                0.99536,                      1,                  0.995,                0.64125,                 1.3457,                0.56152,                  1.536,               0.000713,               0.000713,               0.000713
                     67,                0.82594,                0.48097,                 1.0072,                0.99544,                      1,                  0.995,                0.65317,                 1.3167,                0.56432,                 1.5278,              0.0006932,              0.0006932,              0.0006932
                     68,                0.77602,                0.53346,                0.97101,                0.99552,                      1,                  0.995,                0.65641,                 1.2887,                0.56431,                 1.5173,              0.0006734,              0.0006734,              0.0006734
                     69,                0.83307,                0.62927,                0.97904,                0.99552,                      1,                  0.995,                0.65641,                 1.2887,                0.56431,                 1.5173,              0.0006536,              0.0006536,              0.0006536
                     70,                0.86321,                0.54079,                 1.1467,                0.99545,                      1,                  0.995,                0.64502,                 1.3138,                0.57485,                 1.5481,              0.0006338,              0.0006338,              0.0006338
                     71,                0.72464,                0.48504,                0.96713,                0.99542,                      1,                  0.995,                 0.6481,                  1.283,                0.55708,                 1.5225,               0.000614,               0.000614,               0.000614
                     72,                0.83183,                0.50858,                 1.1118,                0.99546,                      1,                  0.995,                0.66748,                 1.2271,                0.56122,                 1.4705,              0.0005942,              0.0005942,              0.0005942
                     73,                0.77385,                0.75212,                 1.0468,                0.99546,                      1,                  0.995,                0.66748,                 1.2271,                0.56122,                 1.4705,              0.0005744,              0.0005744,              0.0005744
                     74,                0.82331,                0.50509,                  1.053,                0.99538,                      1,                  0.995,                0.65428,                 1.2165,                0.55821,                 1.4612,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.7914,                0.47717,                0.97149,                0.99535,                      1,                  0.995,                0.64888,                 1.2468,                0.55802,                 1.4877,              0.0005348,              0.0005348,              0.0005348
                     76,                0.71856,                0.45911,                 1.0293,                0.99538,                      1,                  0.995,                0.65607,                 1.2835,                0.55584,                 1.5097,               0.000515,               0.000515,               0.000515
                     77,                0.69477,                0.45258,                 1.0028,                0.99538,                      1,                  0.995,                0.65607,                 1.2835,                0.55584,                 1.5097,              0.0004952,              0.0004952,              0.0004952
                     78,                0.76051,                 0.4626,                0.98717,                0.99541,                      1,                  0.995,                0.66604,                 1.2897,                0.53876,                  1.513,              0.0004754,              0.0004754,              0.0004754
                     79,                0.71674,                0.43237,                0.97529,                0.99541,                      1,                  0.995,                  0.668,                 1.2841,                0.53791,                 1.5068,              0.0004556,              0.0004556,              0.0004556
                     80,                0.74366,                0.48892,                 1.0063,                0.99539,                      1,                  0.995,                0.67126,                 1.2931,                0.53915,                 1.5203,              0.0004358,              0.0004358,              0.0004358
                     81,                0.77832,                 0.4601,                 1.0048,                0.99539,                      1,                  0.995,                0.67126,                 1.2931,                0.53915,                 1.5203,               0.000416,               0.000416,               0.000416
                     82,                0.73998,                0.45283,                 1.0435,                0.99542,                      1,                  0.995,                0.67926,                 1.3018,                0.54251,                 1.5313,              0.0003962,              0.0003962,              0.0003962
                     83,                0.66029,                0.42815,                0.97615,                0.99543,                      1,                  0.995,                0.69172,                  1.291,                0.53768,                 1.5243,              0.0003764,              0.0003764,              0.0003764
                     84,                0.73381,                0.45762,                 1.0066,                0.99537,                      1,                  0.995,                0.69329,                 1.2738,                  0.526,                 1.5128,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.7379,                0.42857,                 1.0278,                0.99537,                      1,                  0.995,                0.69329,                 1.2738,                  0.526,                 1.5128,              0.0003368,              0.0003368,              0.0003368
                     86,                0.66903,                0.41419,                0.98083,                 0.9953,                      1,                  0.995,                0.67123,                 1.2767,                0.53265,                 1.5106,               0.000317,               0.000317,               0.000317
                     87,                0.89823,                0.58107,                  1.162,                      1,                      1,                  0.995,                0.64537,                 1.3014,                 0.5356,                  1.525,              0.0002972,              0.0002972,              0.0002972
                     88,                0.68598,                0.42889,                 1.0225,                0.99526,                      1,                  0.995,                0.64997,                 1.3113,                0.54107,                  1.533,              0.0002774,              0.0002774,              0.0002774
                     89,                0.64995,                0.44783,                0.91606,                0.99526,                      1,                  0.995,                0.64997,                 1.3113,                0.54107,                  1.533,              0.0002576,              0.0002576,              0.0002576
                     90,                0.72782,                0.43912,                0.98263,                      1,                      1,                  0.995,                0.64059,                 1.3117,                0.54279,                 1.5334,              0.0002378,              0.0002378,              0.0002378
                     91,                0.76854,                0.50339,                 1.0541,                      1,                      1,                  0.995,                0.63376,                 1.3201,                0.53779,                 1.5476,               0.000218,               0.000218,               0.000218
                     92,                 0.6504,                0.43728,                0.95273,                      1,                      1,                  0.995,                 0.6315,                 1.3347,                0.54185,                  1.575,              0.0001982,              0.0001982,              0.0001982
                     93,                0.59853,                0.40979,                0.98723,                      1,                      1,                  0.995,                 0.6315,                 1.3347,                0.54185,                  1.575,              0.0001784,              0.0001784,              0.0001784
                     94,                0.66616,                0.45761,                  1.052,                0.99537,                      1,                  0.995,                0.63456,                 1.3582,                0.55011,                 1.6078,              0.0001586,              0.0001586,              0.0001586
                     95,                0.61343,                 0.4195,                0.93111,                0.99537,                      1,                  0.995,                0.63424,                 1.3783,                0.55234,                 1.6415,              0.0001388,              0.0001388,              0.0001388
                     96,                0.70081,                0.42852,                0.94382,                0.99545,                      1,                  0.995,                0.63424,                  1.406,                0.55118,                  1.684,               0.000119,               0.000119,               0.000119
                     97,                0.67352,                0.42709,                0.98462,                0.99545,                      1,                  0.995,                0.63424,                  1.406,                0.55118,                  1.684,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.6142,                0.44285,                 0.9799,                0.99551,                      1,                  0.995,                0.63717,                 1.4157,                0.55709,                 1.6996,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.74639,                0.44702,                0.93406,                0.99551,                      1,                  0.995,                0.64648,                  1.417,                0.56226,                 1.7037,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.69737,                0.46718,                0.99986,                0.99549,                      1,                  0.995,                0.64648,                 1.4216,                0.56382,                 1.7107,               3.98e-05,               3.98e-05,               3.98e-05
