                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98688,                0.86692,                 1.1723,                0.94656,                0.97994,                  0.995,                0.78777,                0.45548,                0.47556,                0.84688,             0.00046412,             0.00046412,             0.00046412
                      2,                0.40722,                0.35092,                  0.872,                0.99744,                      1,                  0.995,                0.91947,                0.24389,                0.27289,                0.76431,             0.00093114,             0.00093114,             0.00093114
                      3,                 0.3315,                0.30221,                 0.8482,                0.99033,                      1,                  0.995,                0.94769,                0.22125,                0.22064,                0.75516,              0.0013887,              0.0013887,              0.0013887
                      4,                0.30807,                0.28229,                0.84473,                0.99448,                      1,                  0.995,                0.95655,                0.20965,                0.21694,                0.75594,              0.0013866,              0.0013866,              0.0013866
                      5,                0.28343,                0.25521,                0.83557,                0.99775,                      1,                  0.995,                0.94885,                0.22981,                0.23284,                 0.7561,              0.0013724,              0.0013724,              0.0013724
                      6,                0.26384,                0.24325,                0.82391,                0.99875,                      1,                  0.995,                0.96802,                 0.1715,                0.17342,                0.73963,              0.0013583,              0.0013583,              0.0013583
                      7,                0.25056,                0.23602,                 0.8218,                0.99863,                      1,                  0.995,                0.96223,                0.19166,                0.18026,                0.74724,              0.0013441,              0.0013441,              0.0013441
                      8,                0.24848,                0.23971,                0.82973,                0.99872,                      1,                  0.995,                0.97433,                0.19555,                0.17524,                0.74877,                0.00133,                0.00133,                0.00133
                      9,                0.23804,                0.22611,                0.82513,                0.99853,                      1,                  0.995,                0.96854,                0.15574,                0.15875,                0.73567,              0.0013158,              0.0013158,              0.0013158
                     10,                0.23162,                0.22284,                0.82619,                0.99865,                      1,                  0.995,                0.97144,                0.18317,                0.17166,                0.74372,              0.0013017,              0.0013017,              0.0013017
                     11,                0.22749,                0.21471,                0.82434,                0.99878,                      1,                  0.995,                0.97507,                0.18008,                0.17575,                0.74861,              0.0012875,              0.0012875,              0.0012875
                     12,                0.21987,                0.20856,                0.81743,                0.99898,                      1,                  0.995,                0.97512,                0.15203,                0.15684,                0.73224,              0.0012734,              0.0012734,              0.0012734
                     13,                0.21931,                0.20892,                0.82189,                0.99901,                      1,                  0.995,                0.97418,                0.15306,                0.14718,                 0.7307,              0.0012592,              0.0012592,              0.0012592
                     14,                0.22024,                0.20654,                0.81154,                0.99892,                      1,                  0.995,                0.99119,                0.17296,                0.16469,                  0.736,              0.0012451,              0.0012451,              0.0012451
                     15,                0.21973,                0.20573,                0.82256,                0.99877,                      1,                  0.995,                0.98566,                0.16391,                0.16337,                0.73605,              0.0012309,              0.0012309,              0.0012309
                     16,                0.21859,                0.20013,                0.81159,                0.99876,                      1,                  0.995,                0.97423,                0.14336,                0.13816,                0.72926,              0.0012168,              0.0012168,              0.0012168
                     17,                0.22159,                0.20432,                0.80722,                0.99891,                      1,                  0.995,                0.98022,                0.16313,                0.15786,                0.73499,              0.0012026,              0.0012026,              0.0012026
                     18,                0.21047,                0.19602,                0.81804,                 0.9986,                      1,                  0.995,                0.97131,                0.15439,                0.15596,                0.73733,              0.0011885,              0.0011885,              0.0011885
                     19,                0.21029,                0.19831,                0.81591,                0.99881,                      1,                  0.995,                0.97298,                0.15918,                 0.1468,                0.73118,              0.0011744,              0.0011744,              0.0011744
                     20,                0.20235,                0.19027,                0.81354,                0.99874,                      1,                  0.995,                0.98554,                0.13783,                0.13551,                0.72973,              0.0011602,              0.0011602,              0.0011602
