epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.008,1.41635,0.96014,1.74855,0.61088,0.58066,0.61668,0.40885,1.22403,0.73926,1.65998,0.000475711,0.000475711,0.000475711
2,260.162,1.20093,0.68709,1.60133,0.60987,0.59304,0.63115,0.43477,1.1749,0.67051,1.60225,0.00086636,0.00086636,0.00086636
3,379.315,1.1542,0.64665,1.54577,0.94107,0.59612,0.6247,0.4296,1.16574,0.66337,1.58053,0.00117127,0.00117127,0.00117127
4,498.401,1.11075,0.60649,1.49618,0.615,0.60616,0.63713,0.44881,1.10005,0.60302,1.50029,0.00104317,0.00104317,0.00104317
5,617.517,1.06774,0.56262,1.44625,0.61541,0.60304,0.63481,0.45827,1.08311,0.61461,1.48556,0.00091456,0.00091456,0.00091456
6,736.635,1.03549,0.5372,1.41909,0.61624,0.61645,0.63778,0.46716,1.03282,0.56424,1.42806,0.00078595,0.00078595,0.00078595
7,855.791,0.99702,0.50754,1.37418,0.95389,0.61807,0.64043,0.47664,0.99733,0.52662,1.39092,0.00065734,0.00065734,0.00065734
8,976.292,0.96898,0.48139,1.3467,0.6206,0.62417,0.63854,0.47568,1.00289,0.52077,1.38561,0.00052873,0.00052873,0.00052873
9,1097.35,0.93984,0.46186,1.32487,0.95122,0.62656,0.63808,0.48476,0.95553,0.50712,1.35605,0.00040012,0.00040012,0.00040012
10,1218.04,0.90868,0.43613,1.29678,0.9573,0.62749,0.64231,0.49164,0.93869,0.48333,1.33302,0.00027151,0.00027151,0.00027151
11,1339.09,0.88184,0.41824,1.27332,0.95729,0.6318,0.64333,0.49504,0.92838,0.47082,1.33135,0.0001429,0.0001429,0.0001429
