epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,894.383,1.21644,0.73559,1.45555,0.964,0.97661,0.9906,0.72542,0.97477,0.47591,1.37778,0.00047324,0.00047324,0.00047324
2,1748.93,0.96998,0.46824,1.36758,0.97308,0.98203,0.9919,0.74022,0.93561,0.44276,1.35215,0.000864112,0.000864112,0.000864112
3,2614.54,0.93439,0.44368,1.33038,0.98617,0.96968,0.99299,0.75282,0.90593,0.4432,1.31823,0.00116924,0.00116924,0.00116924
4,3479.18,0.91475,0.4403,1.31338,0.98511,0.97554,0.99169,0.75816,0.9097,0.41924,1.31659,0.00104317,0.00104317,0.00104317
5,4372.73,0.87913,0.42446,1.27897,0.97628,0.99317,0.99325,0.76705,0.86502,0.41026,1.27479,0.00091456,0.00091456,0.00091456
6,5263.55,0.85223,0.40069,1.25159,0.98484,0.98557,0.99356,0.75606,0.93016,0.41272,1.33581,0.00078595,0.00078595,0.00078595
7,6121.88,0.8296,0.38551,1.22941,0.98651,0.98924,0.99378,0.77969,0.84994,0.38559,1.24521,0.00065734,0.00065734,0.00065734
8,6999.07,0.81176,0.37468,1.22387,0.98129,0.98993,0.99386,0.79147,0.81604,0.36657,1.21329,0.00052873,0.00052873,0.00052873
9,7902.91,0.78786,0.36304,1.1963,0.98728,0.98416,0.9935,0.80638,0.78106,0.3547,1.19675,0.00040012,0.00040012,0.00040012
10,8817.36,0.76471,0.34865,1.17368,0.98382,0.98839,0.99392,0.80613,0.76747,0.33803,1.18655,0.00027151,0.00027151,0.00027151
11,9707.88,0.74356,0.33849,1.16873,0.98146,0.99229,0.99384,0.81407,0.75368,0.33148,1.17593,0.0001429,0.0001429,0.0001429
